text,language
On your beam ends,English
On tenterhooks,English
Vegrissen is menselijk.,Nederlands
"Oh, they have slain the Earl of Moray and Lady Mondegreen",English
(A) watched pot never boils,English
Oxo cube,English
Moot point,English
A no-brainer,English
Carry coals to Newcastle,English
Get used to it,English
Dash to pieces,English
In the club,English
Knuckle under,English
Get down to brass tacks,English
Take a back seat,English
Billy no mates,English
Chew the cud,English
Okay,English
Het up,English
Scarper,English
The smallest room in the house,English
Pyrric victory,English
Ieder vogeltje zingt zoals het gebekt is.,Nederlands
Mens moet nie werk om te lewe nie – hy moet lewe om te werk.,Afrikaans
Bloody-minded,English
There's an R in the month,English
Jy moet onder sy arm gaan ruik.,Afrikaans
Jam tomorrow,English
Trou die dogter van ‘n goeie ma.,Afrikaans
As busy as a bee,English
I bear a charmed life,English
Have an inkling,English
Nog groenvoer op die land hê.,Afrikaans
A stitch in time saves nine,English
Vicious circle,English
Loose cannon,English
Je moet het ijzer smeden als het heet is.,Nederlands
Floozie in the jacuzzi - The,English
By the book,English
One small step for man,English
Woe is me,English
Motley crew,English
Famous last words (the ironic phrase),English
Rinky-dink,English
Mutt and Jeff,English
Trouble and strife,English
Johnny on the spot,English
Bottle out,English
Steal a march,English
A rolling stone gathers no moss,English
You can't teach an old dog new tricks,English
"‘n Boer wat ophou skoolgaan voordat hy doodgaan, moet liewer doodgaan voordat hy ophou skoolgaan.",Afrikaans
Rack your brains,English
Elke hart het sy smart.,Afrikaans
Life in the 1500s - folk etymologies,English
Funny farm,English
Handle with kid gloves,English
On the dole,English
An arm and a leg,English
Mare's nest,English
Back the field,English
Sleep tight,English
"Jy moet maar self groei, ongeag hoe groot jou oupa was.",Afrikaans
Nothing succeeds like success,English
"Die goed wat jy aan jou ouer doen, dit belê jy rente op rente, maar wat jy aan jou kind doen, dit is jy die meeste van die tye met kapitaal en rente kwyt. Dis ‘n gelukkie as jy daar iets van terugkry. MOET NIET DAAROP REKEN.",Afrikaans
(In the) nick of time,English
Knick-knack,English
Bald as a coot,English
Wide berth - Keep a,English
Àugur well,English
The full monty,English
Ginger,English
Jors se opsykind is al pramhoog.  [pramhoog – hoe vrouens in Namakwaland hoogte aandui],Afrikaans
Eaten out of house and home,English
Whipper snapper,English
In the pink,English
"Behandel jou meerdere met beleefdheid omdat dit jou plig is, jou gelyke omdat dit jou plesier is, jou mindere omdat dit jou voorreg is. Die voorreg is aangenamer as die plesier en die plesier is soeter as die plig.",Afrikaans
Jack Robinson - Before you can say,English
Power corrupts; absolute power corrupts absolutely,English
Copper-bottomed,English
Ek sal jou slaan dat jy jou ouma vir ’n eendvoël aansien.,Afrikaans
Box and Cox,English
Jors is goed geolie.,Afrikaans
Touchy-feely,English
Roasted to a turn,English
Old hat,English
Lead balloon - Go over like a,English
Zien is geloven.,Nederlands
Vele handen maken licht werk.,Nederlands
Paying guest - A,English
Woman's place is in the home - A,English
Put a spanner in the works,English
Worth one's salt,English
Vice versa,English
Bang on about,English
Face the music,English
,Nederlands
Ek is in die dolliwarie.,Afrikaans
The opera ain't over till the fat lady sings,English
Abandon all hope ye who enter here,English
Hy leef op sy binnevet.,Afrikaans
"Out of sight, out of mind",English
Man's inhumanity to man,English
Doesn't know shit from Shinola,English
"Geen nieuws, goed nieuws.",Nederlands
Wat is jy? ‘n Besitter van of ‘n besitting van jou bates.,Afrikaans
Hither and yon,English
The writing is on the wall,English
Gou met die pen.,Afrikaans
Odds bodkins,English
Daar is slegte bloed tussen hulle.,Afrikaans
Play silly buggers,English
Strain at the leash,English
‘n Mens moet die wêreld ‘n beter plek agterlaat as wat jy dit gekry het.,Afrikaans
Morning person,English
Feeding frenzy,English
"Waar jy nie die daad kan weglieg nie, kan jy altyd ‘n ekskuus bylieg.",Afrikaans
Bog standard,English
Ill wind,English
Bode well,English
Cloud cuckoo land,English
Accidentally on purpose,English
Raining stair-rods,English
Quid pro quo,English
Heavens to Murgatroyd,English
It never rains but it pours,English
Annus horribilis,English
Bated breath,English
Grace of God - There but for ...,English
The land of nod,English
Take the gilt off the gingerbread,English
Bone idle,English
"Dis goed om geduld te hê, tensy jy iets gedoen wil hê…",Afrikaans
,English
Shoot through,English
Just in time,English
Spick and span,English
Moving finger writes - The,English
Collywobbles - The,English
"Die mens wat dink geld het veel waarde, bly nog ‘n tydverkwister. So, koop al die skatte van die aarde – nie een minuut van gister.",Afrikaans
Extraordinary rendition,English
Upside down,English
Revenge is a dish best served cold,English
Hy kollekteer al weer by haar.,Afrikaans
Pretty kettle of fish,English
Let's roll,English
As fast as greased lightning,English
Alle begin is moeilijk.,Nederlands
One fell swoop - At,English
As happy as...,English
Good riddance,English
Jy kan vir Jan Raap en Skraap eet ou.,Afrikaans
There's one (a sucker) born every minute,English
Poetic justice,English
A sledgehammer to crack a nut,English
,Afrikaans
Green eyed monster,English
Let them eat cake,English
Elke mens is ‘n dief in sy eie nering.,Afrikaans
Coals to Newcastle - Carry,English
In the buff,English
Platsak wees.,Afrikaans
Beast with two backs,English
Van ’n donkie kan jy ’n skop verwag.,Afrikaans
Cold as any stone,English
"Verbosity leads to unclear, inarticulate things",English
Stone the crows,English
Die haan kraai baie harder as die hen wat die eier gelê het.,Afrikaans
Hoist with your own petard,English
Eat humble pie,English
Carpe Diem: Gryp die dag!,Afrikaans
Be enthralled,English
Belt up,English
Chip on your shoulder,English
Die moeilikste besluite in die lewe is om te besluit watter brûe om oor te steek en watter om te verbrand.,Afrikaans
In the doldrums,English
Agree to disagree,English
Don't look a gift horse in the mouth,English
Mutton dressed as lamb,English
,Afrikaans
Cash on the nail,English
"Dawid Jones sê hulle melk ons nou sô vir die armes, asof dit ons skuld is dat hul arm is.",Afrikaans
Faff about,English
‘n Bank is ‘n plek waar hulle vir jou ‘n sambreel gee wanner dit mooiweer is en dit terugvra as dit begin reën.,Afrikaans
(On a) wing and a prayer,English
Say goodnight Gracie,English
Keep schtum,English
"Jy kan nie die armes ryk maak, deur die rykes te verarm nie.",Afrikaans
,Nederlands
Make a clean breast of it,English
Berg toe gaan.,Afrikaans
"Naas die wete wanneer om ‘n geleentheid aan te gryp, is die belangrikste ding in die lewe om te weet wanneer om ‘n geleentheid te laat verbygaan.",Afrikaans
Die gierige mens is altyd behoeftig.,Afrikaans
King James' Version of the Bible,English
All agog,English
Fly off the handle,English
Curry favour,English
A foregone conclusion,English
Ace in the hole,English
Sorg dat jy nooit jou geld belê in enigiets wat eet of wat geverf moet word nie.,Afrikaans
Make a virtue of necessity,English
Die mooiweer sal jou nie beskadig omdat jy jou jas en sambreel verniet saamgeneem het nie.,Afrikaans
The game is afoot,English
Forewarned is forearmed,English
,Nederlands
Over the moon,English
"Marry in haste, repent at leisure",English
Between two stools,English
"An eye for an eye, a tooth for a tooth",English
Oefening baart kunst.,Nederlands
Stranger than fiction - Truth is,English
"Been there, done that",English
Sy doopseel lig.,Afrikaans
Rhyming slang,English
Push the envelope,English
Someone is walking over my grave,English
Forlorn hope,English
Half-hearted,English
Hy skil sy aartappels nie twee keer oor nie.,Afrikaans
Get the upper hand,English
Cloud nine,English
Pull your horns in,English
Take the Mickey,English
Don't change horses in midstream,English
Air kiss,English
Nod is as good as a wink - A,English
Grasp the nettle,English
Jan Taks die belasting man eis sy pond vleis.,Afrikaans
Through thick and thin,English
Iron hoof,English
Van ‘n muggie ‘n olifant maak.,Afrikaans
Beter één vogel in de hand dan tien in de lucht.,Nederlands
Look before you leap,English
As nice as ninepence,English
Thumbs up,English
,English
"Though this be madness, yet there is method in it",English
"Eeny, meeny, miny, mo",English
Load of codswallop,English
"Lies, damned lies and statistics",English
A nation of shopkeepers,English
Old codger,English
Make a bee-line for,English
Sleep on a clothesline,English
Die prys van vryheid is ewige waaksaamheid.,Afrikaans
"Alas, poor Yorick! I knew him, Horatio",English
Grinning like a Cheshire cat,English
Fiddling while Rome burns,English
"Stark, raving mad",English
"That's one small step for a man, a giant leap for mankind",English
Canteen culture,English
As old as the hills,English
Beg the question,English
"Be still, my beating heart",English
Hy skiet al weer ‘n cadenza.,Afrikaans
Route one,English
Loaf of bread,English
Flotsam and jetsam,English
Iets is beter as niks.,Afrikaans
"Wie heuning wil eet, moet steke verdra.",Afrikaans
Sy hou van haar stembande om my ore rek.,Afrikaans
Joined at the hip,English
Crapper - The,English
As good luck would have it,English
Adam sê dis Eva en Eva sê dis die slang.,Afrikaans
Sealed with a loving kiss,English
Skaars uit die dop wees.,Afrikaans
Whoops-a-daisy,English
Good as gold,English
Join the colours,English
Now is the winter of our discontent,English
Toodle-oo,English
Baby father,English
Hy staan of hy geld in die bank het.,Afrikaans
Play it again Sam,English
Net goed wees om die dood te gaan haal.,Afrikaans
Beck and call,English
Daar is geen sukkel by kuns nie en geen kuns by sukkel nie.,Afrikaans
"Moenie jou goed in jou lewe onder jou kinders uitdeel nie. As hul spandabel is, sal hulle die goed deurbring en as hulle alternatief inhalig is, sal hulle jou verwaarloos.   Wat ek tot my spyt en verdriet nie gedoen het nie)",Afrikaans
Enige verandering aan daardie gesig is ‘n verbetering.  [bydrae: Herman Janse van Rensburg],Afrikaans
McCoy - The real,English
Hy is dopsak.,Afrikaans
Granny dumping,English
Asap - As soon as possible,English
Nou gaan die poppe dans.,Afrikaans
"Pasop vir my groottoon, hy hou van stamp.",Afrikaans
Which is which?,English
Een mens verneuk nie ‘n ander nie. Elke mens verneuk homself.,Afrikaans
Die droëpram is al mooi groot.,Afrikaans
The call of the wild,English
Half-cocked,English
As black as Newgate's knocker,English
Fed up,English
Die dans vryspring.,Afrikaans
Game is up - The,English
Fuzzy wuzzy,English
Tijd vliegt.,Nederlands
Getik wees.,Afrikaans
"Die reêlmaat van seisoene is ononderhandelbaar. Waar nou die dag nog niks was nie, rinkink die kleure en geur gratis en verniet. Die winterslaap was maar net die broeimasjien van die huidige kleur en geur.",Afrikaans
Moet nooit aftree nie. Dis beter om te verslyt as om te verroes.,Afrikaans
Hy is baie kamp.,Afrikaans
,Nederlands
A rose by any other name would smell as sweet,English
Bun in the oven,English
Vis-a-vis,English
If the shoe fits,English
Hard cases make bad law,English
Tickle the ivories,English
Abide with me,English
Flogging a dead horse,English
Cut the mustard,English
Punch above one's weight,English
Much Ado about Nothing,English
,Afrikaans
Mal Jan onder die afkop-hoenders.,Afrikaans
Giddy goat,English
Verskoon my Frans.,Afrikaans
Moving the goalposts,English
Hy is lekker vuurbek.,Afrikaans
Rest on his laurels,English
"Dis goud wat blink, maar koper wat stink.",Afrikaans
Niemand is so dom soos die een wat nie wil leer nie en niemand is so lui soos die een wat nie wil dink nie.,Afrikaans
Piece of piss,English
Keep your hands clean,English
Bale out/bail out,English
,Nederlands
Ladies' room,English
Fly in the ointment,English
Have a Captain Cook,English
Wet behind the ears,English
Nautical phrases,English
It's that man again,English
Geef hem een vinger en hij neemt de hele hand.,Nederlands
Cat's Cradle,English
Touch wood,English
How do you do?,English
A ministering angel shall my sister be,English
A golden key can open any door,English
Die parlement is moerland toe.,Afrikaans
Shake a leg,English
Fight the good fight,English
Can't hold a candle to,English
Merry Christmas,English
Blue blood,English
‘n Sinikus is iemand wat die prys van alles weet en die waarde van niks.,Afrikaans
Laurels - rest on one's,English
Hairy eyeball,English
Great unwashed - the,English
The pen is mightier than the sword,English
Hy is blikners gery.,Afrikaans
Whistle and flute,English
"Sukses, is die kuns om hooi te maak van die gras wat ander mense onder hul voete vertrap.",Afrikaans
Dirt bag,English
Elke haan is koning op sy eie mishoop.,Afrikaans
Dreams of empire,English
Misquotes,English
The bread of life,English
Religion is the opium of the people,English
In a pig's eye,English
Up a blind alley,English
"As jy nie daarin slaag om te beplan nie, beplan jy om nie te slaag nie.",Afrikaans
How now brown cow?,English
Klim uit die streskas!,Afrikaans
Away with the fairies,English
Pop goes the weasel,English
Over a barrel,English
Hy maak of hy geld in die bank het.,Afrikaans
"Als de kat van huis is, dansen de muizen op tafel.",Nederlands
Ivory tower,English
Flat out,English
"Die grootste taak in die lewe is nie om te sien wat doer vér in die toekoms lê nie, maar om te identifiseer wat duidelik voor ons lê en dit te verwerk.",Afrikaans
Hy is ‘n gladde kêrel.,Afrikaans
Reën by buurman – jy kry niks. Die Here was sy vuil kindertjies eerste.,Afrikaans
My old Dutch,English
Press into service,English
Off his own bat,English
Get - underway,English
"‘n Mens weet meer van ‘n pad deur dit te bewandel, as deur al die voorstellings en beskrywings in die wêreld – AS jy jou oë oophou en sien wat jy sien.",Afrikaans
Petty cash,English
Good in parts,English
Compassion fatigue,English
Caught in a cleft stick,English
Baptism of fire,English
On a hiding to nothing,English
Fast asleep,English
Nosy parker,English
Alter ego,English
"Jou karakter, soos die fondamente van ‘n huis, is onder die oppervlakte.",Afrikaans
"Houston, we have a problem",English
Cart before the horse - Put the,English
Many happy returns,English
Man after my own heart - A,English
Hier kom nou weer baie loopneusdae meneer.,Afrikaans
Read between the lines,English
Slush fund,English
,Afrikaans
Well read,English
Fools rush in where angels fear to tread,English
Geld wat geel is maak reg wat skeel is.,Afrikaans
Tawdry,English
Cor blimey,English
Sleep like a top,English
Fish out of water - A,English
Silver lining - every cloud has a,English
Shebang - The whole,English
Tout de suite,English
Mum's the word,English
"Friends, Romans, Countrymen, lend me your ears",English
Female of the species is more deadly then the male - The,English
"Jan van Rooy, vang ‘n vlooi – poef hom rooi en sê – dis mooi!",Afrikaans
As straight as a die,English
Spitting image,English
Level playing field,English
(The) pen is mightier than the sword,English
Jou biesiepol!,Afrikaans
Like billy-o,English
Dead as a doornail,English
Between the Devil and the deep blue sea,English
Storm in a teacup,English
Wotcher,English
Beam ends - On your,English
Seen better days,English
Keep a wide berth,English
Jannie is al ringbek.,Afrikaans
Eighty six,English
In the cart,English
Bunny boiler,English
Sak Sarel pa wil 'n Springbok skiet op Dooierus.,Afrikaans
"“Wel, slaan my met ‘n pap snoek en vee jam onder my arms.” – ingestuur deur George",Afrikaans
Busy as a bee,English
Play the race card,English
Stars and garters - My,English
Not a dicky-bird,English
Share and share alike,English
Dis makliker om weg te bly van die aas af as om los te kom van die hoek.,Afrikaans
In the doghouse,English
Elephant in the room,English
"Daar is lewe in die grond. Dit gaan in die saad in en wanneer dit versteur word, gaan dit ook in die man wat dit versteur.",Afrikaans
As good as gold,English
Van die gramadoelas kom.,Afrikaans
Jy het nog niks geleer van iemand wat oor alles met jou saamstem nie.,Afrikaans
On the bubble,English
Badger to death,English
Die son sit manshoogte van die berg af.,Afrikaans
Hy is al sy alies kwyt.,Afrikaans
Jury is still out,English
He will give the Devil his due,English
Pony and trap,English
Pasop vir die man wat te veel praat. Sy korrels is vol kaf en pasop vir die een wat niks sê nie. Hy het ‘n verskuilde agenda.,Afrikaans
Thick and thin,English
Alike as two peas in a pod,English
"(H)asta la vista, baby",English
Pie in the sky,English
Show your mettle,English
,English
A bird in the hand is worth two in the bush,English
A word in edgeways,English
Wear your heart on your sleeve,English
Keep your pecker up,English
Acronyms,English
"“Hy tweng-tweng en pang-pang aan die snare.” – Boerneef, Boplaas",Afrikaans
I will wear my heart upon my sleeve,English
Blood is thicker than water,English
Mouth-watering,English
Dish fit for the gods - A,English
Boxing Day,English
"Elke mens kom vroeër of later, sy Waterloo teë!",Afrikaans
"If the mountain will not come to Muhammad, then Muhammad must go to the mountain",English
Jet-black,English
Lick and a promise,English
Sê groete aan die vrate.,Afrikaans
Rule of thumb,English
What's up Doc?,English
Het is niet al goud wat blinkt.,Nederlands
,English
Kangaroo court,English
As fit as a fiddle,English
Een ongeluk komt zelden alleen.,Nederlands
Frog in the throat - A,English
So blind soos 'n mol.,Afrikaans
As cold as any stone,English
Close quarters,English
"Close, but no cigar",English
Go by the board,English
Bling-bling,English
Bums on seats,English
Ek sê nooit vir my werksmense – loop en gaan doen ‘n werk nie. Ek sê: “Kom ons gaan doen ‘n werk. Bring julle toerusting.”,Afrikaans
Dance attendance on,English
Early bird catches the worm - The,English
Hy weet hoe om ‘n bottel te knak.,Afrikaans
Dutch - My old,English
Fish or cut bait,English
Hy is so haastig dat hy sy brood koud blaas en sy koffie kou. ‘n Slegte dag het hy beskryf: “Dit was 1ste graad van laaste graad. ‘n Goeie dag was laaste graad van 1ste graad.,Afrikaans
Hie vlie woerts om die hoekie.,Afrikaans
The law is an ass,English
A knight in shining armour,English
A red rag to a bull,English
Geld groei nie op my rug nie.,Afrikaans
Needs must,English
Met spaarsaamheid sal jy uit die kleinste inkomste iets oorhou. Met verkwisting sal die grootste vir jou te min wees.,Afrikaans
In the box-seat,English
We are a grandmother,English
‘n Totale balls-up van iets maak.,Afrikaans
Harp on,English
Shanks' mare/shanks' pony,English
The dark side,English
Praat is goedkoop omdat die aanbod die aanvraag vér oorskry.,Afrikaans
May you live in interesting times,English
One sandwich short of a picnic,English
Forgive them for they know not what they do,English
Heart's content,English
Dit is net die oortjies van die seekoei wat ons van weet.,Afrikaans
By dint of,English
Guts for garters,English
Quarter - Give no,English
Whistle down the wind,English
Hy is nie onder 'n kalkoen uitgebroei nie.,Afrikaans
Ou Jors sleep darem nog so aan.,Afrikaans
Act the giddy goat,English
Hy moet nie met sy rondloperhondmaniere hier kom kuier nie.,Afrikaans
Queer Street,English
All that glitters is not gold / All that glisters is not gold,English
Back-seat driver,English
Jy is nou by die verkeerde adres.,Afrikaans
Let not poor Nelly starve,English
As dead as a doornail,English
La-di-da,English
Goody two-shoes,English
,Afrikaans
"Early to bed and early to rise makes a man healthy, wealthy and wise",English
Field day,English
Eerlijkheid duurt het langst.,Nederlands
On your tod,English
Ring the changes,English
Warm onder die boordjie wees.,Afrikaans
Dead cat bounce,English
"Die enigste tyd wanneer spaargeld niks werd is nie, is wanneer jy ‘n goedkoop, sleg artikel gekoop het.",Afrikaans
"‘n Swak tou, moet liggies getrek word.",Afrikaans
Gild the lily,English
Meet your Waterloo,English
Hat trick,English
Reduplicated phrases,English
Riddle wrapped up in an enigma - A,English
Hy slaan die bottel hard.,Afrikaans
Three score and ten,English
As bald as a coot,English
Truth will out,English
Bell the cat,English
Up the apples and pears,English
Beware of Greeks bearing gifts,English
Meat and two veg.,English
Die regverdige beloof min en verrig baie. Die Bose beloof baie en verrig nie eens min nie.,Afrikaans
"Wie het laatst lacht, lacht het best.",Nederlands
Elke gek het sy gebrek.,Afrikaans
Fate worse than death - A,English
More light!,English
Ons moet die kwaadpraat met goedpraat doodpraat.,Afrikaans
Mind your Ps and Qs,English
Safe pair of hands - A,English
Much of a muchness,English
Old as the hills,English
Wish you were here,English
De puntjes op de i zetten.,Nederlands
Sy is ‘n regte ou tierwyfie.,Afrikaans
Bugger Bognor!,English
Hy besit geen duit nie.,Afrikaans
Silence is golden,English
Good Samaritan,English
Dropping like flies,English
Eerder bang Jan as dooi Jan anders is jy Bokveld toe.,Afrikaans
Keep your powder dry,English
Easy as pie,English
An Oxford scholar,English
Play the giddy goat,English
(Ask not) for whom the bell tolls,English
Stone's throw,English
Arm candy - see ear candy,English
To travel hopefully is a better thing than to arrive,English
Jack the lad,English
Geduld is een schone zaak.,Nederlands
Double whammy,English
There is more than one way to kill a cat,English
Cut off without a penny,English
Devil and the deep blue sea,English
From strength to strength,English
"We few, we happy few, we band of brothers",English
Die verste berge is altyd die blouste.,Afrikaans
Full to the gunwales,English
Time and tide wait for no man,English
A man who is his own lawyer has a fool for a client,English
Comes to the crunch - (When it),English
A riddle wrapped up in an enigma,English
Road apples,English
Cockney rhyming slang,English
Darby and Joan,English
Hy loop aandklas.,Afrikaans
Why does bread always fall butter side down?,English
White bread,English
Tilting at windmills,English
Pigeon-chested,English
The upper hand,English
Bandy words,English
Chow down,English
Pears for your heirs,English
"Agter die donkerste onweerswolke, is die ewige son nog altyd daar.",Afrikaans
Quicker than lager turns to piss,English
All present and correct,English
"Die beste manier om ‘n argument te wen, is om daaruit te bly.",Afrikaans
Haat is selfmoord op ‘n langtermyn basis.,Afrikaans
Zwijgen is goud.,Nederlands
,Nederlands
We are not amused,English
Browned off,English
True blue,English
Top dog,English
Lickety-split,English
Dis nie alle goud wat blink nie.,Afrikaans
Soap-dodger,English
Cost an arm and a leg,English
Done a runner,English
‘n Man van twaalf ambagte en dertien ongelukke.,Afrikaans
"Zo gewonnen, zo geronnen.",Nederlands
Put on the wooden overcoat,English
Tattoo phrases and sayings,English
Die liefde is ‘n dubbeldoor – iets te wen en iets verloor.,Afrikaans
Burning the midnight oil,English
"Bullet - Bit the, Bite the",English
Doldrums - in the,English
Middle of the road,English
"As jy wil leef op hoop alleen, sal jy sterf van honger, armoede en ellende.",Afrikaans
Je moet de huid niet verkopen voordat de beer geschoten is.,Nederlands
Hanky-panky,English
Keep your nose clean,English
Hy raak toe sommer doringbos vir haar.,Afrikaans
The crack of doom,English
Pin money,English
"Eye of newt and toe of frog, wool of bat and tongue of dog",English
Cold feet,English
Don't die like I did,English
Bygones be bygones - Let,English
Mondegreens,English
The sky's the limit,English
Wave a red rag to a bull,English
Visit the ladies' room,English
House divided against itself cannot stand - A,English
Shuffle off this mortal coil,English
Going to hell in a handbasket,English
Gestewel en gespoor.,Afrikaans
Bean counter,English
‘n Gordyn oor iets laat val.,Afrikaans
"Waar die boer nie is nie, word sy baard nie geskeer nie.",Afrikaans
Upper crust,English
Halcyon days,English
French phrases,English
Life of Riley,English
All intents and purposes,English
Fast and loose,English
Hobson's choice,English
The great - unwashed,English
"Overpaid, oversexed, and over here",English
Apple pie order,English
Put the cart before the horse,English
Make my day,English
Point Percy at the porcelain,English
Big cheese - The,English
The bitter end,English
Cogito ergo sum,English
As mad as a hatter,English
"Een rede waarom ‘n hond ‘n goeie trooster kan wees as jy verslae voel, is dat hy nie vrae vra nie.",Afrikaans
Cool Britannia,English
Give no quarter,English
Coin a phrase,English
Clear blue water,English
Politici loop almal met twee aangesigte,Afrikaans
Legend in one's own lifetime,English
Moveable feast,English
Tower of strength,English
"Moenie roem dat jy geen kwaad gedoen het nie. Watter goed het jy gedoen” ‘n Steeks perd is nie meer werd as een wat skop nie. Hy beteken minder – een wat skop, kan jy terug skop, maar jy kan nie terug steeks wees nie.",Afrikaans
Customer is always right - The,English
"Oh, my stars and garters",English
"Waar een wil is, is een weg.",Nederlands
Get the sack,English
Young turk,English
Hy kan ‘n bokkom braai.,Afrikaans
Keep body and soul together,English
Hiding to nothing - On a,English
"Pas op vir die man wat sy oë half toe hou. Dis nie dat hy nie wil uitkyk nie, dis om te keer dat jy inkyk.",Afrikaans
Differently abled,English
As fit as a butcher's dog,English
Van surfing,English
Richard of York gave battle in vain,English
Colour up,English
Kick your heels,English
"Aan skuld betaal kom ‘n end, maar aan spyt kom nooit ‘n end nie.",Afrikaans
Nation of shopkeepers - A,English
A hard man is good to find,English
Hair of the dog that bit you,English
‘n Duit in die armbeurs gooi.,Afrikaans
Gad zooks (or gadzooks),English
Dis asof die lank-rek van die laaste noot die kraai laat lekkerkry.,Afrikaans
Rack and ruin,English
"Some are born great, some achieve greatness, and some have greatness thrust upon 'em",English
De stoute schoenen aantrekken.,Nederlands
Total shambles,English
A dog is a man's best friend,English
Like a moth to a flame,English
My old china,English
"Die lewe sonder HUMOR, is soos ‘n kar sonder vere. Dit kan die stampe van die lewenspad nie absorbeer nie.",Afrikaans
Pieter se nuwe meisie is ‘n mooi melkkoffie.,Afrikaans
Take the upper hand,English
Genius is one percent inspiration and 99 percent perspiration,English
Brown as a berry,English
A thing of beauty is a joy forever,English
As daft as a brush,English
Get your goat,English
"Die perd wat die hawer verdien, kry dit nie altyd nie.",Afrikaans
Steal my thunder,English
Daar is maar één rede waarom ‘n mens onder ‘n vreemde nasie inkruip. Die voordeel van die parasiet OF die nadeel van die renegaat.,Afrikaans
Rob Peter to pay Paul,English
Word in edgeways - A,English
Jimmy Riddle,English
Road less travelled - The,English
Peg out,English
Quick and the dead - The,English
Wax lyrical,English
On the shoulders of giants,English
Good men and true,English
"Om te dink is maklik; om te doen is moeilik. Om te doen soos ‘n mens dink, is die moeilikste van alles.",Afrikaans
Thinking cap,English
Like being savaged by a dead sheep,English
Pasop vir ‘n na-paadjie. Daar moet ‘n rde wees waarom die grootpad nie daarlangs gaan nie.,Afrikaans
,Nederlands
An apple a day keeps the doctor away,English
Think outside the box,English
They couldn't hit an elephant at this distance,English
Booze cruise,English
Tea leaf,English
In someone's bad books,English
Proof of the pudding is in the eating - The,English
A little knowledge is a dangerous thing,English
Famous last words (dying statements of famous people - a list),English
Talk of the Devil,English
Nooit gedink my blindederm sal lank genoeg wees nie.,Afrikaans
Suspension of disbelief,English
Music has charms to soothe the savage breast,English
Hy is opgedreun tot by oom Daantjie in die kalwerhok en weer terug.,Afrikaans
By the board,English
What a piece of work is man,English
"As jy nie uit jou foute leer nie, is daar geen sin om hulle te maak nie.",Afrikaans
Safe sex,English
Sy is totaal en al bonkers.,Afrikaans
In die sand byt.,Afrikaans
Make a pig's ear of,English
Anchors aweigh,English
Daar is geen regte manier om ‘n verkeerde ding te doen nie.,Afrikaans
Fly on the wall,English
Bone dry,English
No holds barred,English
Word for word,English
So skaars soos ‘n tweedehandse doodkis.,Afrikaans
Sick puppy (A),English
Bobbejaanstuipe kry.,Afrikaans
Send packing,English
Hy stuur ons van Pontius na Pilatus om te soek na 'n naald in die hooimied.,Afrikaans
Almanakke druk.,Afrikaans
On the ball,English
Have your guts for garters,English
Sent to Coventry,English
Shot in the dark,English
Hou jou oë goed oop voor die huwelik en half-toe daarna.,Afrikaans
Cleft stick - In a,English
Peeping Tom,English
Imitation is the sincerest form of flattery,English
Helter-skelter,English
Between a rock and a hard place,English
(The whole) kit and caboodle,English
Go like the clappers,English
A friend in need is a friend indeed,English
Come clean,English
,Afrikaans
Happy as Larry,English
In the offing,English
Brush - As daft as a,English
The Big Apple,English
Take potluck,English
Dust up,English
Black sheep of the family,English
Sy is ‘n diamant in my kroon.,Afrikaans
Talk to the hand,English
Frog's hair- as fine as,English
Moaning Minnie,English
Picture-perfect,English
‘n Hen met spore.,Afrikaans
It's not rocket science,English
"Ek probeer my skandelike verlede troos met goeie voornemens vir die toekoms, maar hy skud net sy kop.",Afrikaans
(The) fat of the land,English
Gee whiz,English
An albatross around one's neck,English
"Nasty, brutish and short",English
Standing on the shoulders of giants,English
Stille wateren hebben diepe gronden.,Nederlands
Hy is gedwee soos ‘n delwersdonkie.,Afrikaans
Blaze a trail,English
To a T,English
Pure as the driven snow,English
De laatste druppel doet de emmer overlopen.,Nederlands
Ek kan enigiets weerstaan behalwe versoeking.,Afrikaans
A dog is a man's best friend,English
Devil Incarnate - The,English
"Mense wat min weet, praat baie; mense wat baie weet, praat min.",Afrikaans
In the sticks,English
"Skat jou bekwaamheid te min om mee te spog en jou karakter te goed om mee te speel, dan sal jy jou selfrespek bewaar en die respek van jou medemens verseker. Daar is maar een soort wat hul deugde onderskat – dis die werklik bekwames.",Afrikaans
Born again,English
Have no truck with,English
Donkie vasmaak.,Afrikaans
Red rag to a bull - A,English
In die donker is alle katte grou.,Afrikaans
Brummagem screwdriver,English
Two peas in a pod,English
“Hy trek ‘n Mbeki.”,Afrikaans
In the nick of time,English
"Die hand wat die wieg skommel, regeer die wêreld.",Afrikaans
A watched pot never boils,English
Die ouens sal moet losklos hardloop daar in Londen.,Afrikaans
As XXX as YYY,English
Diamond in the rough,English
As alike as two peas in a pod,English
,Nederlands
Cherchez la femme,English
I have not slept one wink,English
Hy was kleindag so onbeskof.,Afrikaans
Rose is a rose is a rose,English
As cool as a cucumber,English
Purple patch,English
"High, wide and handsome",English
On the pig's back,English
,Afrikaans
Geld in die water gooi.,Afrikaans
A skeleton in the closet,English
Hy het die hasepad gekies.,Afrikaans
Tissue of lies,English
Jump the gun,English
Pond life,English
Little knowledge is a dangerous thing - A,English
Ek moet ‘n wegmens wees.,Afrikaans
Out of sorts,English
Up a gum tree,English
Stand and deliver,English
