number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,neighborhood,rental_price
2,1,685,poor,47,frontage_rd,2690.424
3,2,823,good,6,north_berkeley,4589
2,1,846,poor,48,frontage_rd,2764.976
2,1,846,good,3,north_berkeley,3437
0,1,397,poor,34,frontage_rd,1421.064
0,1,261,poor,55,frontage_rd,1047.18
1,1,733,good,13,north_berkeley,2056
0,1,265,poor,35,frontage_rd,1268.76
1,1,326,great,6,east_elmwood,2314
3,2,1020,great,8,east_elmwood,5302
3,2,1027,poor,44,frontage_rd,4237.352
2,1,551,poor,63,frontage_rd,2286.828
3,2,807,poor,55,frontage_rd,3843.69
3,2,1139,poor,48,frontage_rd,4217.792
1,1,635,good,9,north_berkeley,2017
1,1,520,good,13,north_berkeley,1851
2,1,765,great,14,east_elmwood,3693
0,1,505,good,6,north_berkeley,1804
3,2,837,poor,27,frontage_rd,4366.008
3,2,921,good,5,north_berkeley,4744
2,1,924,great,12,east_elmwood,3902
3,2,976,poor,38,frontage_rd,4247.384
2,1,918,good,0,north_berkeley,3524
0,1,332,good,0,north_berkeley,1714
1,1,463,good,7,north_berkeley,1885
3,2,822,poor,44,frontage_rd,3999.352
1,1,626,poor,55,frontage_rd,1476.84
0,1,424,poor,60,frontage_rd,1136.2
1,1,383,poor,49,frontage_rd,1352.712
1,1,496,good,4,north_berkeley,1917
3,2,1166,poor,52,frontage_rd,4234.464
3,2,1211,good,14,north_berkeley,4970
3,2,896,poor,25,frontage_rd,4453.02
0,1,377,good,8,north_berkeley,1698
1,1,381,good,10,north_berkeley,1784
1,1,429,poor,53,frontage_rd,1271.174
2,1,750,good,9,north_berkeley,3217
1,1,718,poor,45,frontage_rd,1715.7
1,1,527,poor,47,frontage_rd,1489.95
2,1,652,good,4,north_berkeley,3196
3,2,1067,poor,24,frontage_rd,4650.496
3,2,1075,good,13,north_berkeley,4841
3,2,1154,great,1,east_elmwood,5459
1,1,649,great,1,east_elmwood,2592
0,1,195,good,9,north_berkeley,1500
2,1,774,poor,59,frontage_rd,2561.316
2,1,803,great,6,east_elmwood,3822
2,1,529,great,3,east_elmwood,3633
2,1,584,good,12,north_berkeley,3042
0,1,102,good,6,north_berkeley,1472
3,2,899,good,2,north_berkeley,4696
3,2,1237,good,14,north_berkeley,4972
0,1,228,poor,62,frontage_rd,903.176
2,1,604,poor,40,frontage_rd,2721.6
0,1,518,poor,35,frontage_rd,1558.79
2,1,571,good,4,north_berkeley,3100
0,1,351,good,11,north_berkeley,1657
0,1,111,poor,29,frontage_rd,1181.346
1,1,345,poor,59,frontage_rd,1173.706
1,1,632,good,3,north_berkeley,2082
2,1,711,good,12,north_berkeley,3151
1,1,466,good,12,north_berkeley,1848
1,1,727,good,0,north_berkeley,2190
1,1,404,poor,63,frontage_rd,1128.79
1,1,374,poor,34,frontage_rd,1456.056
3,2,1108,great,13,east_elmwood,5284
3,2,1236,good,1,north_berkeley,5119
2,1,870,good,4,north_berkeley,3433
0,1,144,good,6,north_berkeley,1523
3,2,1221,good,11,north_berkeley,4990
3,2,985,good,10,north_berkeley,4763
1,1,318,great,7,east_elmwood,2288
2,1,538,good,12,north_berkeley,3067
1,1,487,great,13,east_elmwood,2365
2,1,836,good,13,north_berkeley,3303
3,2,1156,good,3,north_berkeley,5025
1,1,516,great,12,east_elmwood,2439
1,1,580,poor,53,frontage_rd,1480.39
1,1,713,good,9,north_berkeley,2124
2,1,724,good,2,north_berkeley,3305
3,2,1226,good,3,north_berkeley,5005
1,1,674,good,8,north_berkeley,2128
0,1,532,good,1,north_berkeley,1932
3,2,1099,good,12,north_berkeley,4789
3,2,807,good,7,north_berkeley,4608
3,2,959,great,6,east_elmwood,5244
0,1,260,good,5,north_berkeley,1591
0,1,203,poor,38,frontage_rd,1205
3,2,1112,poor,29,frontage_rd,4608.526
2,1,655,good,11,north_berkeley,3144
0,1,355,poor,61,frontage_rd,1037.34
3,2,1146,good,5,north_berkeley,4995
3,2,1098,great,8,east_elmwood,5396
0,1,117,good,5,north_berkeley,1465
0,1,474,great,9,east_elmwood,2297
0,1,463,great,10,east_elmwood,2272
2,1,770,good,9,north_berkeley,3277
1,1,642,great,11,east_elmwood,2502
3,2,1044,poor,26,frontage_rd,4543.812
0,1,425,poor,45,frontage_rd,1268.25
2,1,681,poor,38,frontage_rd,2822.592
2,1,509,good,6,north_berkeley,3054
1,1,568,great,3,east_elmwood,2575
1,1,749,poor,21,frontage_rd,1986.02
2,1,651,great,2,east_elmwood,3701
0,1,448,good,14,north_berkeley,1696
0,1,492,poor,20,frontage_rd,1696
0,1,516,poor,59,frontage_rd,1187.536
1,1,625,good,0,north_berkeley,2162
2,1,874,good,13,north_berkeley,3320
1,1,738,good,2,north_berkeley,2253
0,1,148,good,4,north_berkeley,1537
3,2,819,good,3,north_berkeley,4646
0,1,101,good,5,north_berkeley,1483
0,1,131,poor,22,frontage_rd,1302.768
0,1,158,poor,57,frontage_rd,943.594
1,1,725,poor,44,frontage_rd,1660.288
2,1,616,great,2,east_elmwood,3678
0,1,341,great,7,east_elmwood,2195
1,1,668,good,0,north_berkeley,2190
0,1,491,good,2,north_berkeley,1850
3,2,895,good,12,north_berkeley,4638
2,1,787,good,1,north_berkeley,3407
2,1,873,poor,15,frontage_rd,3317
1,1,525,poor,47,frontage_rd,1484.274
2,1,941,poor,56,frontage_rd,2771.936
1,1,537,good,9,north_berkeley,1905
3,2,1070,great,5,east_elmwood,5367
0,1,440,good,12,north_berkeley,1751
0,1,255,good,13,north_berkeley,1513
0,1,464,poor,45,frontage_rd,1352.8
3,2,974,good,6,north_berkeley,4750
1,1,322,poor,40,frontage_rd,1393.92
1,1,371,poor,47,frontage_rd,1339.536
1,1,487,poor,34,frontage_rd,1637.82
3,2,985,great,14,east_elmwood,5221
0,1,460,good,3,north_berkeley,1853
0,1,384,good,13,north_berkeley,1667
2,1,755,good,12,north_berkeley,3205
2,1,765,good,4,north_berkeley,3362
2,1,580,great,2,east_elmwood,3692
1,1,472,great,3,east_elmwood,2479
0,1,193,poor,33,frontage_rd,1243.798
1,1,312,poor,31,frontage_rd,1475.802
0,1,488,great,8,east_elmwood,2304
0,1,214,poor,33,frontage_rd,1235.032
3,2,939,good,7,north_berkeley,4750
0,1,502,poor,17,frontage_rd,1743
0,1,540,good,10,north_berkeley,1835
0,1,139,good,10,north_berkeley,1487
0,1,447,poor,29,frontage_rd,1492.64
2,1,776,great,4,east_elmwood,3828
1,1,695,great,6,east_elmwood,2604
0,1,449,good,7,north_berkeley,1820
3,2,984,great,6,east_elmwood,5312
0,1,255,good,9,north_berkeley,1542
3,2,811,poor,20,frontage_rd,4428
0,1,371,good,12,north_berkeley,1643
1,1,444,great,5,east_elmwood,2399
1,1,410,good,9,north_berkeley,1800
1,1,315,poor,39,frontage_rd,1395.862
0,1,368,poor,36,frontage_rd,1366.816
1,1,738,poor,51,frontage_rd,1659.322
1,1,372,good,1,north_berkeley,1868
3,2,899,poor,17,frontage_rd,4620
2,1,919,good,1,north_berkeley,3538
3,2,1082,good,7,north_berkeley,4878
3,2,1114,poor,44,frontage_rd,4337.312
0,1,163,poor,37,frontage_rd,1115.73
3,2,1090,poor,59,frontage_rd,4026.374
3,2,989,good,0,north_berkeley,4856
0,1,479,great,12,east_elmwood,2275
2,1,617,good,8,north_berkeley,3124
3,2,959,poor,61,frontage_rd,3851.01
1,1,735,good,12,north_berkeley,2154
3,2,1084,great,14,east_elmwood,5272
1,1,480,good,4,north_berkeley,1956
2,1,813,poor,58,frontage_rd,2655.576
0,1,103,great,1,east_elmwood,2023
2,1,695,great,9,east_elmwood,3701
0,1,186,poor,20,frontage_rd,1427
0,1,270,poor,44,frontage_rd,1171.912
2,1,800,poor,51,frontage_rd,2668.61
2,1,502,great,4,east_elmwood,3570
2,1,680,poor,60,frontage_rd,2481.24
3,2,1071,poor,58,frontage_rd,4014.78
1,1,662,good,10,north_berkeley,2060
0,1,499,good,13,north_berkeley,1818
1,1,308,poor,33,frontage_rd,1408.404
0,1,236,good,13,north_berkeley,1507
2,1,889,good,7,north_berkeley,3458
2,1,884,good,6,north_berkeley,3381
0,1,454,good,11,north_berkeley,1699
3,2,1036,good,4,north_berkeley,4820
2,1,637,good,9,north_berkeley,3105
1,1,339,poor,51,frontage_rd,1213.772
2,1,587,poor,25,frontage_rd,2887.83
0,1,489,poor,36,frontage_rd,1480.072
0,1,440,good,2,north_berkeley,1843
2,1,573,good,2,north_berkeley,3143
1,1,575,good,9,north_berkeley,1949
0,1,207,good,13,north_berkeley,1481
0,1,407,great,0,east_elmwood,2320
0,1,295,poor,43,frontage_rd,1171.512
0,1,434,poor,17,frontage_rd,1633
0,1,184,great,13,east_elmwood,1938
2,1,895,poor,58,frontage_rd,2662.044
0,1,323,great,7,east_elmwood,2182
2,1,747,great,4,east_elmwood,3774
3,2,1166,poor,39,frontage_rd,4436.744
1,1,689,poor,29,frontage_rd,1882.494
2,1,663,great,8,east_elmwood,3636
1,1,412,poor,50,frontage_rd,1339.5
3,2,1131,good,14,north_berkeley,4875
1,1,300,good,9,north_berkeley,1736
2,1,786,good,12,north_berkeley,3262
0,1,402,poor,48,frontage_rd,1274.4
2,1,535,great,2,east_elmwood,3639
1,1,360,good,9,north_berkeley,1740
0,1,276,great,9,east_elmwood,2065
2,1,647,poor,43,frontage_rd,2668.338
1,1,611,good,5,north_berkeley,2075
3,2,956,good,6,north_berkeley,4777
1,1,426,good,14,north_berkeley,1788
0,1,155,great,12,east_elmwood,1945
2,1,643,poor,40,frontage_rd,2756.16
1,1,593,good,10,north_berkeley,1944
3,2,1093,poor,39,frontage_rd,4337.658
1,1,487,good,12,north_berkeley,1854
1,1,349,good,10,north_berkeley,1768
0,1,171,poor,61,frontage_rd,902.394
3,2,1024,good,1,north_berkeley,4904
0,1,116,good,10,north_berkeley,1374
2,1,561,poor,49,frontage_rd,2550.936
1,1,741,great,10,east_elmwood,2637
2,1,901,great,5,east_elmwood,3952
1,1,318,poor,57,frontage_rd,1138.98
1,1,688,great,8,east_elmwood,2605
3,2,828,good,7,north_berkeley,4584
2,1,938,great,4,east_elmwood,3973
2,1,669,poor,25,frontage_rd,2940.3
3,2,840,poor,64,frontage_rd,3669.888
2,1,638,poor,50,frontage_rd,2549.28
2,1,759,great,14,east_elmwood,3712
2,1,934,great,0,east_elmwood,4058
3,2,991,great,10,east_elmwood,5287
1,1,411,great,8,east_elmwood,2316
2,1,883,poor,35,frontage_rd,3077.81
3,2,1152,good,3,north_berkeley,4986
0,1,230,good,11,north_berkeley,1490
3,2,934,good,9,north_berkeley,4733
3,2,941,great,5,east_elmwood,5274
3,2,933,great,9,east_elmwood,5156
3,2,839,poor,55,frontage_rd,3879.96
0,1,216,great,1,east_elmwood,2092
3,2,1235,good,3,north_berkeley,5088
0,1,132,good,11,north_berkeley,1445
2,1,832,poor,34,frontage_rd,2986.956
2,1,900,great,13,east_elmwood,3881
3,2,897,good,8,north_berkeley,4658
1,1,698,great,11,east_elmwood,2563
1,1,368,good,1,north_berkeley,1865
2,1,664,good,8,north_berkeley,3159
3,2,1162,good,14,north_berkeley,4883
2,1,743,good,8,north_berkeley,3300
1,1,427,poor,64,frontage_rd,1169.184
1,1,632,good,1,north_berkeley,2106
2,1,698,poor,16,frontage_rd,3173
0,1,275,poor,18,frontage_rd,1456
3,2,1128,good,7,north_berkeley,4889
1,1,352,great,0,east_elmwood,2346
3,2,1174,good,3,north_berkeley,4956
1,1,440,great,5,east_elmwood,2420
1,1,460,good,4,north_berkeley,1949
2,1,870,good,7,north_berkeley,3435
3,2,1240,great,14,east_elmwood,5497
0,1,326,poor,45,frontage_rd,1196.05
0,1,311,good,12,north_berkeley,1542
2,1,656,poor,24,frontage_rd,2966.08
1,1,560,good,14,north_berkeley,1899
0,1,352,poor,59,frontage_rd,1116.542
2,1,714,good,1,north_berkeley,3282
3,2,834,poor,32,frontage_rd,4290.496
0,1,348,good,0,north_berkeley,1730
0,1,388,good,3,north_berkeley,1746
0,1,328,great,13,east_elmwood,2126
2,1,718,good,6,north_berkeley,3230
0,1,435,poor,64,frontage_rd,1073.424
3,2,1182,great,6,east_elmwood,5483
1,1,632,great,11,east_elmwood,2503
3,2,902,great,2,east_elmwood,5186
1,1,612,good,6,north_berkeley,2034
0,1,217,good,11,north_berkeley,1516
0,1,126,good,11,north_berkeley,1428
1,1,586,good,7,north_berkeley,2018
3,2,831,good,1,north_berkeley,4659
1,1,380,good,12,north_berkeley,1758
3,2,1224,good,6,north_berkeley,4976
3,2,1009,poor,60,frontage_rd,3940.36
2,1,872,great,12,east_elmwood,3868
0,1,116,great,9,east_elmwood,1964
3,2,1060,good,8,north_berkeley,4862
1,1,442,poor,62,frontage_rd,1183.472
0,1,442,good,14,north_berkeley,1737
0,1,519,poor,43,frontage_rd,1460.574
0,1,118,good,1,north_berkeley,1489
2,1,674,good,13,north_berkeley,3110
3,2,1182,great,14,east_elmwood,5364
3,2,1056,poor,20,frontage_rd,4663
1,1,357,poor,55,frontage_rd,1209.93
1,1,507,great,7,east_elmwood,2401
2,1,793,good,4,north_berkeley,3303
0,1,254,good,12,north_berkeley,1578
0,1,375,good,4,north_berkeley,1767
3,2,934,poor,15,frontage_rd,4637
2,1,677,poor,15,frontage_rd,3123
2,1,582,good,8,north_berkeley,3057
2,1,918,poor,33,frontage_rd,3126.54
3,2,994,good,7,north_berkeley,4801
0,1,144,poor,50,frontage_rd,982.3
3,2,997,good,11,north_berkeley,4749
0,1,430,great,8,east_elmwood,2248
0,1,443,poor,20,frontage_rd,1602
2,1,785,great,7,east_elmwood,3832
1,1,426,great,9,east_elmwood,2344
1,1,312,good,13,north_berkeley,1645
0,1,116,great,7,east_elmwood,1929
2,1,949,good,0,north_berkeley,3513
1,1,501,great,8,east_elmwood,2390
1,1,564,great,3,east_elmwood,2538
0,1,333,poor,26,frontage_rd,1439.516
3,2,879,great,9,east_elmwood,5169
2,1,817,good,4,north_berkeley,3379
3,2,1123,poor,49,frontage_rd,4251.246
1,1,64056,good,0,north_berkeley,2184
1,1,707,good,1,north_berkeley,2168
1,1,347,poor,63,frontage_rd,1073.036
0,1,245,poor,63,frontage_rd,968.84
3,2,1116,good,13,north_berkeley,4808
3,2,1083,great,9,east_elmwood,5304
3,2,911,great,0,east_elmwood,5285
1,1,724,good,12,north_berkeley,2097
1,1,627,good,8,north_berkeley,2084
0,1,259,great,10,east_elmwood,2095
0,1,216,poor,50,frontage_rd,1014.26
0,1,490,good,12,north_berkeley,1732
3,2,931,good,14,north_berkeley,4617
0,1,174,poor,43,frontage_rd,1077.066
3,2,956,great,10,east_elmwood,5204
2,1,937,poor,61,frontage_rd,2719.116
3,2,1220,great,11,east_elmwood,5459
0,1,240,good,12,north_berkeley,1514
3,2,964,great,2,east_elmwood,5270
1,1,589,poor,33,frontage_rd,1723.98
0,1,217,good,14,north_berkeley,1447
2,1,520,great,4,east_elmwood,3540
0,1,220,poor,49,frontage_rd,1034.316
3,2,1176,poor,19,frontage_rd,4849
3,2,1008,good,9,north_berkeley,4794
3,2,1202,good,11,north_berkeley,4950
3,2,1117,poor,57,frontage_rd,4062.362
3,2,1140,good,0,north_berkeley,4996
2,1,734,poor,35,frontage_rd,2890.6
0,1,419,good,6,north_berkeley,1758
3,2,1117,good,13,north_berkeley,4796
1,1,516,great,13,east_elmwood,2352
2,1,555,poor,51,frontage_rd,2468.816
1,1,407,good,12,north_berkeley,1797
0,1,356,good,5,north_berkeley,1671
2,1,860,good,1,north_berkeley,3434
1,1,637,great,5,east_elmwood,2582
3,2,995,poor,39,frontage_rd,4320.342
1,1,623,poor,38,frontage_rd,1702.424
3,2,968,good,9,north_berkeley,4699
3,2,1182,great,8,east_elmwood,5404
0,1,147,poor,47,frontage_rd,1025.464
0,1,534,good,0,north_berkeley,1963
3,2,871,good,11,north_berkeley,4648
1,1,348,great,3,east_elmwood,2363
1,1,427,poor,17,frontage_rd,1712
0,1,140,good,3,north_berkeley,1488
2,1,898,great,10,east_elmwood,3922
0,1,532,poor,36,frontage_rd,1474.264
0,1,432,poor,19,frontage_rd,1628
3,2,1160,great,10,east_elmwood,5360
2,1,775,poor,43,frontage_rd,2791.404
0,1,178,great,14,east_elmwood,1898
1,1,395,good,1,north_berkeley,1858
1,1,304,good,0,north_berkeley,1777
0,1,438,great,12,east_elmwood,2258
3,2,1037,good,5,north_berkeley,4849
0,1,246,good,7,north_berkeley,1528
3,2,948,good,4,north_berkeley,4752
1,1,505,good,10,north_berkeley,1907
1,1,562,good,10,north_berkeley,1917
0,1,248,poor,29,frontage_rd,1340.43
1,1,737,great,12,east_elmwood,2573
3,2,1100,good,2,north_berkeley,4926
3,2,804,good,6,north_berkeley,4591
0,1,104,great,11,east_elmwood,1867
1,1,444,good,14,north_berkeley,1801
0,1,186,poor,30,frontage_rd,1297.52
0,1,383,great,4,east_elmwood,2202
2,1,620,good,8,north_berkeley,3107
3,2,1098,good,14,north_berkeley,4856
1,1,718,poor,39,frontage_rd,1710.436
2,1,866,good,3,north_berkeley,3418
1,1,404,poor,53,frontage_rd,1259.032
3,2,1022,good,8,north_berkeley,4829
1,1,508,good,5,north_berkeley,1971
2,1,854,great,5,east_elmwood,3862
0,1,542,good,13,north_berkeley,1791
3,2,1240,great,10,east_elmwood,5503
0,1,128,good,6,north_berkeley,1432
0,1,365,good,2,north_berkeley,1702
0,1,156,poor,62,frontage_rd,812.492
2,1,933,good,4,north_berkeley,3449
0,1,404,poor,61,frontage_rd,1067.634
2,1,822,good,8,north_berkeley,3309
2,1,744,great,13,east_elmwood,3692
1,1,507,good,12,north_berkeley,1846
1,1,505,great,11,east_elmwood,2349
2,1,946,poor,34,frontage_rd,3159.972
0,1,146,good,14,north_berkeley,1387
3,2,808,good,8,north_berkeley,4612
3,2,936,good,13,north_berkeley,4692
2,1,569,poor,19,frontage_rd,2949
2,1,508,great,2,east_elmwood,3599
3,2,1041,good,7,north_berkeley,4801
3,2,840,poor,50,frontage_rd,3973.38
3,2,1246,good,12,north_berkeley,5011
1,1,481,great,6,east_elmwood,2418
0,1,503,good,7,north_berkeley,1849
1,1,340,great,3,east_elmwood,2307
0,1,397,good,9,north_berkeley,1703
3,2,808,poor,45,frontage_rd,3968.15
2,1,794,poor,43,frontage_rd,2854.368
3,2,1209,good,10,north_berkeley,4916
1,1,358,poor,37,frontage_rd,1420.986
1,1,552,great,4,east_elmwood,2485
3,2,904,good,14,north_berkeley,4576
2,1,539,poor,27,frontage_rd,2846.582
2,1,761,good,3,north_berkeley,3283
1,1,639,great,8,east_elmwood,2576
0,1,191,poor,23,frontage_rd,1366.75
1,1,676,great,5,east_elmwood,2620
2,1,735,poor,31,frontage_rd,2933.022
3,2,941,good,9,north_berkeley,4745
3,2,1212,poor,21,frontage_rd,4839.302
2,1,556,poor,52,frontage_rd,2458.872
1,1,574,good,8,north_berkeley,2008
0,1,209,great,2,east_elmwood,2042
2,1,753,poor,16,frontage_rd,3203
0,1,276,poor,62,frontage_rd,979.204
3,2,1234,good,10,north_berkeley,5025
0,1,505,poor,24,frontage_rd,1669.536
1,1,661,great,7,east_elmwood,2547
3,2,885,great,8,east_elmwood,5184
2,1,865,great,9,east_elmwood,3849
0,1,150,great,14,east_elmwood,1916
3,2,838,poor,56,frontage_rd,3840.992
0,1,288,poor,22,frontage_rd,1510.932
2,1,868,good,7,north_berkeley,3436
3,2,1178,good,5,north_berkeley,4932
3,2,915,great,7,east_elmwood,5205
1,1,355,poor,64,frontage_rd,1151.856
0,1,478,good,10,north_berkeley,1775
0,1,352,great,11,east_elmwood,2174
0,1,281,good,10,north_berkeley,1567
0,1,178,poor,22,frontage_rd,1316.712
3,2,1124,poor,34,frontage_rd,4474.116
2,1,858,good,12,north_berkeley,3307
0,1,143,poor,21,frontage_rd,1307.38
3,2,1042,good,3,north_berkeley,4836
1,1,383,good,10,north_berkeley,1740
1,1,324,poor,50,frontage_rd,1244.56
2,1,508,great,2,east_elmwood,3559
1,1,398,good,6,north_berkeley,1868
1,1,408,good,6,north_berkeley,1810
2,1,813,poor,34,frontage_rd,2971.404
0,1,380,good,11,north_berkeley,1627
2,1,747,poor,16,frontage_rd,3219
2,1,791,poor,24,frontage_rd,3149.6
0,1,185,good,0,north_berkeley,1578
3,2,963,good,9,north_berkeley,4736
1,1,327,poor,49,frontage_rd,1299.018
0,1,125,great,10,east_elmwood,1930
3,2,1140,great,2,east_elmwood,5507
2,1,654,good,2,north_berkeley,3270
0,1,405,good,3,north_berkeley,1754
3,2,1206,good,7,north_berkeley,4996
0,1,261,good,7,north_berkeley,1639
2,1,772,poor,16,frontage_rd,3224
0,1,379,good,11,north_berkeley,1649
2,1,732,great,6,east_elmwood,3730
3,2,1187,good,9,north_berkeley,4964
2,1,712,great,14,east_elmwood,3707
1,1,662,poor,31,frontage_rd,1808.322
0,1,339,poor,30,frontage_rd,1422.96
2,1,880,poor,49,frontage_rd,2785.494
1,1,359,poor,44,frontage_rd,1325.184
0,1,163,poor,52,frontage_rd,970.632
0,1,365,poor,22,frontage_rd,1518.9
3,2,1091,good,13,north_berkeley,4804
1,1,697,poor,62,frontage_rd,1464.684
3,2,1092,poor,45,frontage_rd,4246.5
1,1,512,poor,54,frontage_rd,1391.476
2,1,710,poor,40,frontage_rd,2775.36
2,1,655,poor,62,frontage_rd,2408.164
3,2,807,good,12,north_berkeley,4572
0,1,147,good,4,north_berkeley,1483
2,1,797,good,9,north_berkeley,3296
0,1,442,good,10,north_berkeley,1717
0,1,325,great,11,east_elmwood,2079
2,1,704,great,6,east_elmwood,3707
0,1,495,great,13,east_elmwood,2226
3,2,957,good,11,north_berkeley,4708
2,1,94498,good,0,north_berkeley,3581
1,1,698,good,10,north_berkeley,2132
3,2,897,good,3,north_berkeley,4677
1,1,643,poor,23,frontage_rd,1930.348
2,1,757,good,9,north_berkeley,3271
3,2,1189,poor,26,frontage_rd,4683.12
3,2,932,good,9,north_berkeley,4738
3,2,948,good,9,north_berkeley,4670
1,1,488,poor,61,frontage_rd,1264.086
3,2,1185,poor,41,frontage_rd,4385.724
3,2,824,good,7,north_berkeley,4646
1,1,472,good,12,north_berkeley,1896
0,1,479,good,10,north_berkeley,1770
0,1,490,poor,17,frontage_rd,1733
1,1,457,great,6,east_elmwood,2441
1,1,520,good,7,north_berkeley,1926
1,1,322,great,5,east_elmwood,2296
0,1,482,poor,54,frontage_rd,1206.94
2,1,740,poor,40,frontage_rd,2813.76
2,1,760,good,0,north_berkeley,3367
2,1,758,poor,24,frontage_rd,3095.04
2,1,919,great,14,east_elmwood,3917
3,2,1011,good,4,north_berkeley,4853
1,1,665,great,6,east_elmwood,2638
3,2,1194,great,10,east_elmwood,5429
1,1,714,great,14,east_elmwood,2526
2,1,922,poor,29,frontage_rd,3192.482
1,1,649,great,9,east_elmwood,2514
1,1,380,poor,25,frontage_rd,1634.49
2,1,875,good,11,north_berkeley,3322
3,2,883,good,6,north_berkeley,4685
2,1,531,great,4,east_elmwood,3634
2,1,712,good,1,north_berkeley,3282
2,1,841,good,8,north_berkeley,3369
1,1,433,poor,60,frontage_rd,1245.68
2,1,929,poor,62,frontage_rd,2707.696
0,1,116,poor,50,frontage_rd,938.12
1,1,325,good,13,north_berkeley,1651
3,2,1218,poor,60,frontage_rd,4144.6
1,1,335,poor,17,frontage_rd,1645
1,1,653,poor,28,frontage_rd,1868.616
3,2,1102,great,8,east_elmwood,5390
2,1,921,great,11,east_elmwood,3888
3,2,1207,poor,24,frontage_rd,4770.528
3,2,1054,good,9,north_berkeley,4852
3,2,1159,great,10,east_elmwood,5383
0,1,192,poor,41,frontage_rd,1087.33
0,1,469,good,7,north_berkeley,1755
2,1,687,good,12,north_berkeley,3166
3,2,829,good,13,north_berkeley,4590
0,1,445,good,12,north_berkeley,1724
0,1,226,poor,46,frontage_rd,1139.496
1,1,466,poor,30,frontage_rd,1638.56
3,2,1131,good,0,north_berkeley,4950
1,1,465,poor,15,frontage_rd,1787
0,1,454,great,13,east_elmwood,2206
2,1,545,good,3,north_berkeley,3150
1,1,696,good,11,north_berkeley,2113
3,2,1064,poor,27,frontage_rd,4569.124
0,1,193,poor,62,frontage_rd,862.872
0,1,410,poor,46,frontage_rd,1316.772
3,2,1174,good,9,north_berkeley,4919
0,1,382,great,7,east_elmwood,2204
3,2,1002,good,4,north_berkeley,4860
0,1,542,great,3,east_elmwood,2377
1,1,621,great,0,east_elmwood,2577
3,2,1159,good,3,north_berkeley,5002
2,1,741,poor,16,frontage_rd,3158
3,2,1101,great,13,east_elmwood,5282
3,2,857,great,3,east_elmwood,5208
1,1,336,great,1,east_elmwood,2351
1,1,429,poor,38,frontage_rd,1461.424
3,2,1192,great,12,east_elmwood,5421
2,1,532,poor,20,frontage_rd,2909
0,1,399,good,5,north_berkeley,1784
1,1,652,good,12,north_berkeley,2020
2,1,879,great,2,east_elmwood,3912
3,2,833,poor,30,frontage_rd,4290.44
0,1,119,good,4,north_berkeley,1485
1,1,670,good,3,north_berkeley,2179
2,1,837,good,11,north_berkeley,3301
3,2,1094,poor,36,frontage_rd,4396.656
3,2,1132,good,6,north_berkeley,4961
3,2,1089,great,8,east_elmwood,5328
1,1,483,poor,31,frontage_rd,1626.414
0,1,456,poor,38,frontage_rd,1470.1
1,1,550,good,14,north_berkeley,1952
0,1,144,good,0,north_berkeley,1580
1,1,543,poor,63,frontage_rd,1254.008
2,1,733,good,6,north_berkeley,3281
2,1,773,good,8,north_berkeley,3293
0,1,508,good,1,north_berkeley,1928
1,1,685,poor,25,frontage_rd,1945.35
0,1,402,poor,46,frontage_rd,1255.152
2,1,571,good,12,north_berkeley,3054
1,1,336,poor,24,frontage_rd,1567.36
0,1,406,good,12,north_berkeley,1668
0,1,499,good,4,north_berkeley,1816
0,1,313,poor,40,frontage_rd,1285.44
1,1,681,good,4,north_berkeley,2109
2,1,721,poor,59,frontage_rd,2537.344
1,1,305,poor,48,frontage_rd,1237.584
3,2,923,poor,38,frontage_rd,4258.952
1,1,379,poor,34,frontage_rd,1481.328
0,1,421,great,3,east_elmwood,2331
2,1,594,poor,34,frontage_rd,2761.452
1,1,658,great,12,east_elmwood,2491
3,2,978,good,5,north_berkeley,4820
0,1,247,poor,36,frontage_rd,1259.368
2,1,812,great,12,east_elmwood,3836
1,1,326,good,9,north_berkeley,1782
1,1,661,poor,16,frontage_rd,2004
0,1,415,good,8,north_berkeley,1753
0,1,371,poor,63,frontage_rd,1006.314
3,2,1165,poor,33,frontage_rd,4609.942
3,2,915,good,1,north_berkeley,4740
0,1,270,good,8,north_berkeley,1598
0,1,239,good,7,north_berkeley,1574
3,2,1183,great,3,east_elmwood,5474
1,1,332,great,0,east_elmwood,2302
3,2,853,great,0,east_elmwood,5187
2,1,852,poor,54,frontage_rd,2752.196
2,1,764,poor,64,frontage_rd,2508.912
1,1,338,good,0,north_berkeley,1826
2,1,905,poor,46,frontage_rd,2873.388
2,1,711,good,13,north_berkeley,3177
1,1,580,poor,42,frontage_rd,1558.28
3,2,1111,poor,62,frontage_rd,3961.7
2,1,557,good,2,north_berkeley,3181
3,2,1192,poor,24,frontage_rd,4720.928
1,1,548,great,6,east_elmwood,2463
1,1,369,great,11,east_elmwood,2278
1,1,742,good,8,north_berkeley,2120
0,1,291,good,12,north_berkeley,1546
3,2,1096,great,1,east_elmwood,5464
2,1,936,poor,61,frontage_rd,2708.1
0,1,181,great,11,east_elmwood,1964
0,1,490,good,11,north_berkeley,1760
1,1,516,poor,44,frontage_rd,1544.144
1,1,344,poor,33,frontage_rd,1468.792
2,1,821,good,1,north_berkeley,3408
2,1,702,great,8,east_elmwood,3695
3,2,882,poor,49,frontage_rd,3973.356
2,1,945,poor,21,frontage_rd,3360.266
