Name,NetWorth,Country,Source,Rank,Age,Industry
Renate Sick-Glaser,$2.4 B,Germany,sensor technology,1299,N/A,Technology
William Stone,$2.4 B,United States,software,1299,65,Technology
Elizabeth Sy,$2.4 B,Philippines,diversified,1299,68,Diversified
Tony Tan Caktiong & family,$2.4 B,Philippines,food,1299,68,Food & Beverage
Tang Jinkui & family,$2.4 B,China,"textiles, petrochemicals",1299,65,Manufacturing
Roman Trotsenko,$2.4 B,Russia,"transport, engineering, real estate",1299,50,Logistics
Donald Trump,$2.4 B,United States,real estate,1299,74,Real Estate
T.Y. Tsai,$2.4 B,Taiwan,finance,1299,68,Finance & Investments
John Tyson,$2.4 B,United States,food processing,1299,67,Food & Beverage
David Wertheim,$2.4 B,Israel,Coca Cola Israel,1299,63,Food & Beverage
Xiong Shaoming,$2.4 B,China,e-cigarettes,1299,50,Manufacturing
Yang Jianliang & family,$2.4 B,China,machinery,1299,51,Manufacturing
Michael Ying,$2.4 B,Hong Kong,retail,1299,71,Fashion & Retail
Zhang Ning & family,$2.4 B,Canada,chemicals,1299,47,Manufacturing
Zhang Zhixiang,$2.4 B,China,steel,1299,54,Metals & Mining
Zhao Hongfei,$2.4 B,China,software,1299,46,Technology
Bill and Jean Adderley & family,$2.3 B,United Kingdom,home furnishings,1362,73,Fashion & Retail
Bill Alfond,$2.3 B,United States,shoes,1362,72,Fashion & Retail
Susan Alfond,$2.3 B,United States,shoes,1362,75,Fashion & Retail
Ted Alfond,$2.3 B,United States,shoes,1362,76,Fashion & Retail
Carlos Ardila Lülle,$2.3 B,Colombia,"soft drinks, diversified",1362,90,Food & Beverage
Semahat Sevim Arsel,$2.3 B,Turkey,diversified,1362,92,Diversified
Sezai Bacaksiz,$2.3 B,Turkey,diversified,1362,71,Diversified
Suhail Bahwan,$2.3 B,Oman,diversified,1362,82,Diversified
Bang Jun-hyuk,$2.3 B,South Korea,online gaming,1362,52,Technology
Bang Shi-hyuk,$2.3 B,South Korea,entertainment,1362,48,Media & Entertainment
Anand Burman,$2.3 B,India,consumer goods,1362,68,Food & Beverage
Cao Longxiang & family,$2.3 B,China,pharmaceuticals,1362,63,Healthcare
Vanich Chaiyawan,$2.3 B,Thailand,"insurance, beverages",1362,89,Finance & Investments
Chen Zhisong,$2.3 B,China,communication equipment,1362,55,Technology
Jim Coulter,$2.3 B,United States,private equity,1362,61,Finance & Investments
"Edward DeBartolo, Jr.",$2.3 B,United States,shopping centers,1362,74,Real Estate
Maria Del Pino,$2.3 B,Spain,construction,1362,65,Construction & Engineering
Deng Yingzhong,$2.3 B,China,paper,1362,70,Manufacturing
Bob Ell,$2.3 B,Australia,real estate,1362,76,Real Estate
Sandeep Engineer,$2.3 B,India,plastic pipes,1362,59,Manufacturing
Fong Yun Wah,$2.3 B,Hong Kong,real estate,1362,96,Real Estate
Lindsay Fox,$2.3 B,Australia,"logistics, real estate",1362,83,Logistics
Mario Germano Giuliani,$2.3 B,Switzerland,pharmaceuticals,1362,49,Healthcare
Harsh Goenka,$2.3 B,India,diversified,1362,63,Diversified
Noam Gottesman,$2.3 B,United States,hedge funds,1362,59,Finance & Investments
Joseph Grendys,$2.3 B,United States,poultry processing,1362,59,Food & Beverage
Guan Yihong,$2.3 B,China,restaurant,1362,51,Food & Beverage
David Hains,$2.3 B,Australia,Investments,1362,90,Finance & Investments
Michael Hintze,$2.3 B,Australia,investment,1362,67,Finance & Investments
Stewart Horejsi & family,$2.3 B,United States,Berkshire Hathaway,1362,83,Finance & Investments
Hua Xuande & family,$2.3 B,China,pharmaceuticals,1362,77,Healthcare
Jared Isaacman,$2.3 B,United States,payment processing,1362,38,Technology
David Jiang,$2.3 B,China,e-cigarettes,1362,42,Manufacturing
Jiang Weiping & family,$2.3 B,China,chemicals,1362,66,Manufacturing
Boris Jordan,$2.3 B,United States,cannabis,1362,54,Manufacturing
Baba Kalyani,$2.3 B,India,engineering,1362,72,Construction & Engineering
Jim Kavanaugh,$2.3 B,United States,IT provider,1362,58,Technology
Mustafa Rahmi Koc,$2.3 B,Turkey,diversified,1362,90,Diversified
Eiichi Kuriwada,$2.3 B,Japan,package delivery,1362,74,Logistics
Lai Jianfa,$2.3 B,China,express delivery,1362,51,Logistics
Lam Kong,$2.3 B,China,pharmaceuticals,1362,56,Healthcare
David Xueling Li,$2.3 B,China,live streaming service,1362,48,Technology
Li Xuhui,$2.3 B,China,soy sauce,1362,52,Food & Beverage
Liang Zhaoxian,$2.3 B,China,appliances,1362,56,Manufacturing
Liu Ming Chung,$2.3 B,Brazil,paper,1362,58,Manufacturing
Alexander Mamut,$2.3 B,Russia,investments,1362,61,Finance & Investments
Daniel Mate,$2.3 B,Spain,"mining, commodities",1362,57,Metals & Mining
Clayton Mathile,$2.3 B,United States,pet food,1362,80,Food & Beverage
Aristotelis Mistakidis,$2.3 B,Greece,"mining, commodities",1362,59,Metals & Mining
Fernando Roberto Moreira Salles,$2.3 B,Brazil,"banking, minerals",1362,74,Diversified
Joao Moreira Salles,$2.3 B,Brazil,"banking, minerals",1362,59,Diversified
Walther Moreira Salles Junior,$2.3 B,Brazil,"banking, minerals",1362,64,Finance & Investments
Eugene Murtagh,$2.3 B,Ireland,building materials,1362,78,Manufacturing
Nihat Ozdemir,$2.3 B,Turkey,diversified,1362,71,Diversified
Gretel Packer,$2.3 B,Australia,casinos,1362,55,Media & Entertainment
Andrew Paradise,$2.3 B,United States,★,1362,38,Media & Entertainment
Karl-Johan Persson,$2.3 B,Sweden,H&M,1362,46,Fashion & Retail
Tom Persson,$2.3 B,Sweden,H&M,1362,36,Fashion & Retail
Stewart Rahr,$2.3 B,United States,drug distribution,1362,75,Healthcare
Krit Ratanarak,$2.3 B,Thailand,"media, real estate",1362,74,Media & Entertainment
Michael Saylor,$2.3 B,United States,cryptocurrency,1362,56,Technology
"Karl Scheufele, III. & family",$2.3 B,Switzerland,jewelry,1362,82,Fashion & Retail
Stephan Schmidheiny,$2.3 B,Switzerland,investments,1362,73,Finance & Investments
Vijay Shekhar Sharma,$2.3 B,India,financial technology,1362,42,Service
Charlotte Soderstrom,$2.3 B,Sweden,H&M,1362,44,Fashion & Retail
Sun Huaiqing & family,$2.3 B,China,cosmetics,1362,51,Fashion & Retail
Sze Man Bok,$2.3 B,China,hygiene products,1362,71,Manufacturing
Katsumi Tada,$2.3 B,Japan,real estate,1362,75,Real Estate
Ted Turner,$2.3 B,United States,cable television,1362,82,Media & Entertainment
Jitendra Virwani,$2.3 B,India,real estate,1362,55,Real Estate
Arkady Volozh,$2.3 B,Russia,search engine,1362,57,Media & Entertainment
Lang Walker,$2.3 B,Australia,real estate,1362,75,Real Estate
Wei Ying-Chiao,$2.3 B,Taiwan,"food, beverages",1362,66,Food & Beverage
Wu Zhongyi,$2.3 B,China,electronics,1362,47,Technology
Elaine Wynn,$2.3 B,United States,"casinos, hotels",1362,78,Gambling & Casinos
Xu Chuanhua & family,$2.3 B,China,"chemicals, logistics",1362,86,Manufacturing
Jerry Yang,$2.3 B,United States,Yahoo,1362,52,Technology
Yang Weidong & family,$2.3 B,China,chemicals,1362,52,Manufacturing
Barry Zekelman,$2.3 B,Canada,steel,1362,54,Manufacturing
Zhang Xuezheng,$2.3 B,China,telecom,1362,45,Technology
Zhang Yin,$2.3 B,China,paper manufacturing,1362,64,Manufacturing
Kostyantin Zhevago,$2.3 B,Ukraine,mining,1362,47,Metals & Mining
Jose Joao Abdalla Filho,$2.2 B,Brazil,investments,1444,75,Finance & Investments
Abdulla Al Futtaim & family,$2.2 B,United Arab Emirates,"auto dealers, investments",1444,N/A,Automotive
Ramon Ang,$2.2 B,Philippines,Diversified,1444,67,Food & Beverage
Bill Austin,$2.2 B,United States,hearing aids,1444,79,Manufacturing
Acharya Balkrishna,$2.2 B,India,consumer goods,1444,48,Food & Beverage
Richard Barton,$2.2 B,United States,Zillow,1444,53,Real Estate
Edward Bass,$2.2 B,United States,"oil, investments",1444,75,Energy
Thor Bjorgolfsson,$2.2 B,Iceland,investments,1444,54,Diversified
Nikolai Buinov,$2.2 B,Russia,"oil, gas",1444,53,Energy
Bruce Cheng,$2.2 B,Taiwan,electronics,1444,85,Technology
Chin Jong Hwa,$2.2 B,Taiwan,auto parts,1444,62,Automotive
Jai Hari & Yadu Hari Dalmia & family,$2.2 B,India,cement,1444,N/A,Manufacturing
Dermot Desmond,$2.2 B,Ireland,finance,1444,70,Finance & Investments
K. Dinesh,$2.2 B,India,software services,1444,66,Technology
"Frank Fertitta, III.",$2.2 B,United States,"casinos, mixed martial arts",1444,59,Sports
Lorenzo Fertitta,$2.2 B,United States,"casinos, mixed martial arts",1444,52,Sports
Maria Franca Fissolo,$2.2 B,Italy,"Nutella, chocolates",1444,86,Food & Beverage
Serge Godin,$2.2 B,Canada,information technology,1444,71,Technology
Gu Wei,$2.2 B,China,consumer electronics,1444,56,Manufacturing
Jeffrey Gundlach,$2.2 B,United States,investments,1444,62,Finance & Investments
Guo Jiangang,$2.2 B,China,household appliances,1444,54,Manufacturing
Carlos Hank Rhon,$2.2 B,Mexico,banking,1444,73,Diversified
Gerry Harvey,$2.2 B,Australia,retail,1444,81,Fashion & Retail
Huang Guanlin,$2.2 B,China,"textiles, apparel",1444,56,Fashion & Retail
Huang Wei,$2.2 B,China,real estate,1444,61,Real Estate
Hui Lin Chit,$2.2 B,China,hygiene products,1444,67,Manufacturing
Randal J. Kirk,$2.2 B,United States,pharmaceuticals,1444,67,Healthcare
Leo Koguan,$2.2 B,United States,IT provider,1444,66,Technology
Miguel Krigsner,$2.2 B,Brazil,cosmetics,1444,71,Fashion & Retail
Kwek Leng Kee,$2.2 B,Singapore,diversified,1444,66,Diversified
Thomas Kwok,$2.2 B,Hong Kong,real estate,1444,69,Real Estate
Lau Cho Kun,$2.2 B,Malaysia,"palm oil, property",1444,85,Diversified
Jeff Lawson,$2.2 B,United States,software,1444,43,Technology
Max Levchin,$2.2 B,United States,fintech,1444,45,Finance & Investments
Li Guoqing,$2.2 B,China,Petro Fibre,1444,51,Manufacturing
Li Shuirong,$2.2 B,China,petrochemicals,1444,64,Manufacturing
Li Yongqing,$2.2 B,China,Petro Firbe,1444,56,Manufacturing
Liang Xinjun,$2.2 B,China,conglomerate,1444,53,Diversified
Lin Chang Su-O,$2.2 B,Taiwan,real estate,1444,80,Real Estate
Lin Fanlian,$2.2 B,China,"energy, real estate",1444,59,Energy
Scott Lin,$2.2 B,Taiwan,optical components,1444,88,Technology
Mao Zhongwu,$2.2 B,China,manufacturing,1444,58,Manufacturing
David McMurtry,$2.2 B,United Kingdom,manufacturing,1444,80,Manufacturing
Rubens Menin Teixeira de Souza,$2.2 B,Brazil,"home building, banking",1444,65,Diversified
Mi Enhua,$2.2 B,China,retail,1444,63,Fashion & Retail
Bob Parsons,$2.2 B,United States,web hosting,1444,70,Technology
Catherine Phillips,$2.2 B,Canada,investments,1444,N/A,Finance & Investments
John Phillips,$2.2 B,Canada,investments,1444,70,Finance & Investments
Arvind Poddar,$2.2 B,India,tires,1444,63,Automotive
Qian Ying,$2.2 B,China,pig breeding,1444,55,Food & Beverage
Phillip T. (Terry) Ragon,$2.2 B,United States,health IT,1444,71,Technology
Alberto Roemmers,$2.2 B,Argentina,pharmaceuticals,1444,94,Healthcare
Shashi & Ravi Ruia,$2.2 B,India,diversified,1444,N/A,Diversified
Vlad Shmunis,$2.2 B,United States,cloud technology,1444,60,Technology
Alberto Siccardi & family,$2.2 B,Switzerland,medical devices,1444,76,Healthcare
Sebastian Siemiatkowski,$2.2 B,Sweden,fintech,1444,39,Finance & Investments
Salil Singhal,$2.2 B,India,agrochemicals,1444,73,Manufacturing
Dean Solon,$2.2 B,United States,solar systems,1444,56,Energy
Timothy Springer,$2.2 B,United States,biotech,1444,73,Healthcare
Peter Spuhler,$2.2 B,Switzerland,train cars,1444,61,Manufacturing
Tang Yiu,$2.2 B,Hong Kong,fashion retail,1444,87,Fashion & Retail
Tran Dinh Long,$2.2 B,Vietnam,steel,1444,60,Manufacturing
Anna Katharina Viessmann,$2.2 B,Germany,heating and cooling equipment,1444,N/A,Manufacturing
David Walentas,$2.2 B,United States,real estate,1444,82,Real Estate
Wu Lanlan & family,$2.2 B,China,packaging,1444,47,Manufacturing
Wu Yiling,$2.2 B,China,pharmaceuticals,1444,71,Healthcare
Xiang Wenbo,$2.2 B,China,manufacturing,1444,58,Manufacturing
Xie Liangzhi & family,$2.2 B,China,biotech,1444,55,Healthcare
Xu Yuejuan,$2.2 B,China,Petro Fibre,1444,59,Manufacturing
Shintaro Yamada,$2.2 B,Japan,mobile apps,1444,43,Technology
Yang Jian,$2.2 B,China,real estate,1444,49,Real Estate
Gavril Yushvaev,$2.2 B,Russia,"precious metals, real estate",1444,63,Finance & Investments
Zhang Jingzhang & family,$2.2 B,China,precision machinery,1444,85,Manufacturing
Michael Ashcroft,$2.1 B,United Kingdom,security,1517,75,Finance & Investments
George Bishop,$2.1 B,United States,oil & gas,1517,83,Energy
Julio Bozano,$2.1 B,Brazil,banking,1517,85,Finance & Investments
Herb Chambers,$2.1 B,United States,car dealerships,1517,79,Automotive
Andrew & Peggy Cherng,$2.1 B,United States,restaurants,1517,N/A,Food & Beverage
Jacques D'Amours,$2.1 B,Canada,retail,1517,64,Fashion & Retail
Ray Davis,$2.1 B,United States,pipelines,1517,79,Energy
Diao Zhizhong,$2.1 B,China,software,1517,57,Technology
Michael Federmann & family,$2.1 B,Israel,"defense, hotels",1517,77,Technology
William Fisher,$2.1 B,United States,Gap,1517,64,Fashion & Retail
Bernard Fraisse,$2.1 B,France,pharmaceuticals,1517,64,Healthcare
Fabricio Garcia,$2.1 B,Brazil,retail,1517,43,Fashion & Retail
Flavia Bittar Garcia Faleiros,$2.1 B,Brazil,retail,1517,40,Fashion & Retail
Gordon Getty,$2.1 B,United States,Getty Oil,1517,87,Energy
Philippe Ginestet & family,$2.1 B,France,retail stores,1517,67,Fashion & Retail
Gong Yingying,$2.1 B,China,health IT,1517,36,Healthcare
Lutz Mario Helmig,$2.1 B,Germany,hospitals,1517,74,Healthcare
Ilkka Herlin,$2.1 B,Finland,"elevators, escalators",1517,62,Manufacturing
Arthur Xiaobo Hong,$2.1 B,China,e-commerce,1517,49,Fashion & Retail
Hong Feng,$2.1 B,China,smartphones,1517,44,Technology
Huang Shih Tsai,$2.1 B,Hong Kong,real estate,1517,69,Real Estate
Jiang Yehua & family,$2.1 B,China,real estate,1517,58,Real Estate
Keeree Kanjanapas,$2.1 B,Thailand,transportation,1517,70,Real Estate
Alexander Karp,$2.1 B,United States,software firm,1517,53,Technology
Bruce Karsh,$2.1 B,United States,private equity,1517,65,Finance & Investments
Mustafa Kucuk,$2.1 B,Turkey,fashion retail,1517,57,Fashion & Retail
Dominika Kulczyk,$2.1 B,Poland,diversified,1517,43,Finance & Investments
Philippe Laffont,$2.1 B,United States,hedge fund,1517,53,Finance & Investments
Henry Laufer,$2.1 B,United States,hedge funds,1517,75,Finance & Investments
Frank Laukien,$2.1 B,United States,scientific equipment,1517,61,Manufacturing
Mark Leonard & family,$2.1 B,Canada,software,1517,64,Technology
Li Wanqiang,$2.1 B,China,smartphones,1517,43,Technology
Li Weiwei,$2.1 B,China,online games,1517,44,Technology
Lin Chen-hai,$2.1 B,Taiwan,real estate,1517,74,Real Estate
Lin Yinsun,$2.1 B,China,agribusiness,1517,57,Food & Beverage
Liu Zhongtian & family,$2.1 B,China,aluminum products,1517,57,Manufacturing
Daniel Lubetzky,$2.1 B,United States,snack bars,1517,52,Food & Beverage
Prayudh Mahagitsiri,$2.1 B,Thailand,"coffee, shipping",1517,75,Food & Beverage
Igor Makarov,$2.1 B,Russia,investments,1517,59,Energy
Kishore Mariwala,$2.1 B,India,consumer goods,1517,86,Food & Beverage
Howard Marks,$2.1 B,United States,private equity,1517,74,Finance & Investments
Katarina Martinson,$2.1 B,Sweden,investments,1517,39,Diversified
Vincent McMahon,$2.1 B,United States,entertainment,1517,75,Sports
David Murdock,$2.1 B,United States,"Dole, real estate",1517,97,Food & Beverage
Vikas Oberoi,$2.1 B,India,real estate,1517,50,Real Estate
Erik Paulsson & family,$2.1 B,Sweden,"construction, real estate",1517,79,Real Estate
Roger Penske,$2.1 B,United States,cars,1517,84,Automotive
Florentino Perez,$2.1 B,Spain,construction,1517,74,Construction & Engineering
Phil Ruffin,$2.1 B,United States,"casinos, real estate",1517,86,Diversified
Richard Sands,$2.1 B,United States,liquor,1517,70,Food & Beverage
Robert Sands,$2.1 B,United States,liquor,1517,62,Food & Beverage
Dieter Schnabel,$2.1 B,Germany,chemicals,1517,75,Manufacturing
Christiane Schoeller,$2.1 B,Germany,publishing,1517,N/A,Media & Entertainment
Jeffrey Talpins,$2.1 B,United States,hedge fund,1517,46,Finance & Investments
Timur Turlov,$2.1 B,Russia,stock brokerage,1517,33,Finance & Investments
Sandro Veronesi & family,$2.1 B,Italy,fashion,1517,61,Fashion & Retail
Wang Chou-hsiong,$2.1 B,Taiwan,footwear,1517,80,Manufacturing
Wang Minwen,$2.1 B,China,semiconductor,1517,57,Technology
Weng Xianding,$2.1 B,China,medical devices,1517,59,Healthcare
Michael Xie,$2.1 B,United States,cybersecurity,1517,52,Technology
Yuan Fugen & family,$2.1 B,China,metal processing,1517,70,Manufacturing
Zhao Fenggang,$2.1 B,China,batteries,1517,55,Energy
Zhou Zongwen & family,$2.1 B,China,jewelry,1517,64,Fashion & Retail
S. Daniel Abraham,$2 B,United States,Slim-Fast,1580,96,Food & Beverage
Isak Andic & family,$2 B,Spain,fashion retail,1580,67,Fashion & Retail
Roberto Angelini Rossi,$2 B,Chile,"forestry, mining",1580,72,Diversified
Masaaki Arai,$2 B,Japan,home sales,1580,55,Real Estate
George Argyros & family,$2 B,United States,"real estate, investments",1580,84,Real Estate
Pavel Baudis,$2 B,Czechia,software,1580,60,Technology
Anne Beaufour,$2 B,France,pharmaceuticals,1580,57,Healthcare
Henri Beaufour,$2 B,France,pharmaceuticals,1580,55,Healthcare
Brett Blundy,$2 B,Australia,"retail, agribusiness",1580,61,Fashion & Retail
J. Hyatt Brown,$2 B,United States,insurance,1580,83,Finance & Investments
Dai Wenjun,$2 B,China,food,1580,52,Food & Beverage
Sol Daurella,$2 B,Spain,Coca-Cola bottler,1580,55,Food & Beverage
John de Mol,$2 B,Netherlands,TV programs,1580,66,Media & Entertainment
Dou Zhenggang,$2 B,China,"energy, chemicals",1580,67,Diversified
Glenn Dubin,$2 B,United States,hedge funds,1580,63,Finance & Investments
John Elkann,$2 B,Italy,"FIAT, investments",1580,45,Finance & Investments
Ibrahim Erdemoglu,$2 B,Turkey,carpet,1580,58,Manufacturing
Andy Fang,$2 B,United States,food delivery app,1580,28,Technology
Fang Hongbo,$2 B,China,home appliances,1580,54,Manufacturing
Kenneth Feld & family,$2 B,United States,live entertainment,1580,72,Media & Entertainment
Walter Frey,$2 B,Switzerland,car dealerships,1580,77,Automotive
Yasuhiro Fukushima,$2 B,Japan,video games,1580,73,Media & Entertainment
Dennis Gillings,$2 B,United Kingdom,drug testing,1580,76,Healthcare
Sam Goi,$2 B,Singapore,frozen foods,1580,74,Food & Beverage
Bahaa Hariri,$2 B,Lebanon,"real estate, investments",1580,54,Real Estate
Ilona Herlin,$2 B,Finland,"elevators, escalators",1580,56,Manufacturing
Jeffery Hildebrand,$2 B,United States,oil,1580,62,Energy
J. Tomilson Hill,$2 B,United States,investments,1580,72,Finance & Investments
Orion Hindawi,$2 B,United States,software,1580,41,Technology
Reid Hoffman,$2 B,United States,LinkedIn,1580,53,Technology
Hou Juncheng,$2 B,China,cosmetics,1580,56,Healthcare
W. Herbert Hunt,$2 B,United States,oil,1580,92,Energy
George Joseph,$2 B,United States,insurance,1580,99,Finance & Investments
Ke Yunfeng & family,$2 B,China,retailing,1580,54,Healthcare
Sergei Kolesnikov,$2 B,Russia,building materials,1580,49,Manufacturing
Thomas Lee,$2 B,United States,private equity,1580,77,Finance & Investments
Peter Leibinger,$2 B,Germany,machine tools,1580,54,Manufacturing
Regine Leibinger,$2 B,Germany,machine tools,1580,58,Manufacturing
Nicola Leibinger-Kammueller,$2 B,Germany,manufacturing,1580,61,Manufacturing
Solomon Lew,$2 B,Australia,retail,1580,76,Fashion & Retail
Li Yong,$2 B,China,education,1580,47,Media & Entertainment
Liu Yachao,$2 B,China,education,1580,40,Service
Jeffrey Lorberbaum,$2 B,United States,flooring,1580,66,Manufacturing
Jed McCaleb,$2 B,United States,cryptocurrency,1580,46,Finance & Investments
Craig McCaw,$2 B,United States,telecom,1580,71,Telecom
Miao Yongjun,$2 B,China,clinical diagnostics,1580,53,Healthcare
Robert Miller,$2 B,Canada,electronics components,1580,75,Technology
Charles Munger,$2 B,United States,Berkshire Hathaway,1580,97,Finance & Investments
David Nahmad,$2 B,Monaco,art collection,1580,73,Fashion & Retail
Jonathan Nelson,$2 B,United States,private equity,1580,64,Finance & Investments
Pierre Karl Péladeau,$2 B,Canada,media,1580,59,Media & Entertainment
Kevin Plank,$2 B,United States,Under Armour,1580,48,Fashion & Retail
Alberto Prada,$2 B,Italy,luxury goods,1580,67,Fashion & Retail
Marina Prada,$2 B,Italy,luxury goods,1580,75,Fashion & Retail
Mahendra Prasad,$2 B,India,pharmaceuticals,1580,81,Healthcare
Jennifer Pritzker,$2 B,United States,"hotels, investments",1580,70,Finance & Investments
Linda Pritzker,$2 B,United States,"hotels, investments",1580,67,Service
"Joe Rogers, Jr.",$2 B,United States,Waffle House,1580,N/A,Food & Beverage
Igor Rybakov,$2 B,Russia,building materials,1580,48,Manufacturing
Sathien Setthasit,$2 B,Thailand,energy drinks,1580,66,Food & Beverage
Mikhail Shelkov,$2 B,Russia,titanium,1580,52,Metals & Mining
Shen Xiqiang & family,$2 B,China,chemical,1580,73,Energy
Thaksin Shinawatra,$2 B,Thailand,investments,1580,71,Finance & Investments
Martua Sitorus,$2 B,Indonesia,palm oil,1580,61,Manufacturing
Sylvia Stroeher,$2 B,Germany,cosmetics,1580,65,Fashion & Retail
Alexander Svetakov,$2 B,Russia,real estate,1580,53,Finance & Investments
Stanley Tang,$2 B,United States,food delivery app,1580,28,Technology
Tang Xiuguo,$2 B,China,manufacturing,1580,57,Manufacturing
Alain Taravella,$2 B,France,real estate development,1580,73,Real Estate
Wichai Thongtang,$2 B,Thailand,investments,1580,74,Real Estate
Arvind Tiku,$2 B,India,"oil & gas, investments",1580,51,Energy
Hamdi Ulukaya,$2 B,Turkey,greek yogurt,1580,48,Food & Beverage
Georg von Opel,$2 B,Switzerland,"real estate, investments",1580,54,Finance & Investments
Wang Chaobin,$2 B,China,real estate,1580,65,Real Estate
Wang Zhenghua,$2 B,China,budget airline,1580,76,Service
Wei Ing-Chou,$2 B,Taiwan,"food, beverages",1580,67,Food & Beverage
Horst Wortmann,$2 B,Germany,footwear,1580,79,Fashion & Retail
Wu Junbao,$2 B,China,education,1580,55,Service
Wu Kai,$2 B,China,batteries,1580,53,Energy
Amy Wyss,$2 B,United States,medical equipment,1580,50,Healthcare
Xue Xiangdong & family,$2 B,China,software,1580,62,Technology
Yan Zhi,$2 B,China,real estate,1580,48,Real Estate
William Young,$2 B,United States,plastics,1580,80,Manufacturing
Zhang Xuansong,$2 B,China,supermarkets,1580,49,Fashion & Retail
Noubar Afeyan,$1.9 B,United States,biotech,1664,58,Healthcare
Aziz Akhannouch & family,$1.9 B,Morocco,"petroleum, diversified",1664,60,Diversified
Joao Alves de Queiroz Filho,$1.9 B,Brazil,pharmaceuticals,1664,68,Diversified
Andrey Andreev,$1.9 B,United Kingdom,online dating,1664,47,Technology
Felix Baker,$1.9 B,United States,biotech investing,1664,52,Finance & Investments
Julian Baker,$1.9 B,United States,investing,1664,54,Finance & Investments
Lee Bass,$1.9 B,United States,"oil, investments",1664,64,Energy
Andrey Blokh,$1.9 B,Russia,cannabis,1664,57,Manufacturing
Josef Boquoi & family,$1.9 B,Germany,frozen foods,1664,87,Food & Beverage
Nicola Bulgari,$1.9 B,Italy,luxury goods,1664,80,Fashion & Retail
Chen Shiliang,$1.9 B,China,polyester,1664,57,Manufacturing
Chen Tei-fu,$1.9 B,Taiwan,herbal products,1664,72,Fashion & Retail
Chung Yong-jin,$1.9 B,South Korea,retail,1664,52,Fashion & Retail
Thierry Cruanes,$1.9 B,United States,software,1664,53,Technology
Benoit Dageville,$1.9 B,United States,software,1664,54,Technology
Beda Diethelm,$1.9 B,Switzerland,hearing aids,1664,80,Healthcare
James Dinan,$1.9 B,United States,hedge funds,1664,61,Finance & Investments
Mark Dixon,$1.9 B,United Kingdom,office real estate,1664,61,Real Estate
Bulent Eczacibasi,$1.9 B,Turkey,"pharmaceuticals, diversified",1664,71,Diversified
Fred Ehrsam,$1.9 B,United States,cryptocurrency exchange,1664,32,Finance & Investments
Francois Feuillet,$1.9 B,France,"motorhomes, RVs",1664,72,Automotive
Robert Fisher,$1.9 B,United States,Gap,1664,67,Fashion & Retail
"William Foley, II.",$1.9 B,United States,★,1664,76,Finance & Investments
Gao Yi & family,$1.9 B,China,pharmaceuticals,1664,52,Healthcare
Gao Yu,$1.9 B,China,information technology,1664,51,Technology
Sanjiv Goenka,$1.9 B,India,diversified,1664,60,Diversified
Surjit Kumar Gupta,$1.9 B,India,electrical equipment,1664,79,Manufacturing
Yusuf Hamied,$1.9 B,India,pharmaceuticals,1664,84,Healthcare
Shmuel Harlap,$1.9 B,Israel,automotive,1664,76,Automotive
Bill Haslam,$1.9 B,United States,gas stations,1664,62,Fashion & Retail
Roberto Hernandez Ramirez,$1.9 B,Mexico,banking,1664,79,Finance & Investments
Huang Jiangji,$1.9 B,Hong Kong,smartphones,1664,N/A,Technology
Stanley Hubbard,$1.9 B,United States,DirecTV,1664,87,Media & Entertainment
Arthur Irving,$1.9 B,Canada,oil,1664,91,Energy
Hamilton James,$1.9 B,United States,investments,1664,69,Finance & Investments
Jiang Zhaobai,$1.9 B,China,real estate,1664,57,Real Estate
Ke Jinlong & family,$1.9 B,China,retailing,1664,51,Healthcare
Ke Kangbao & family,$1.9 B,China,retailing,1664,58,Healthcare
Michael Kim,$1.9 B,United States,private equity,1664,57,Finance & Investments
Ipek Kirac,$1.9 B,Turkey,diversified,1664,36,Diversified
Kurt Krieger,$1.9 B,Germany,furniture retailing,1664,73,Fashion & Retail
Christopher Kwok,$1.9 B,Hong Kong,real estate,1664,35,Real Estate
Edward Kwok,$1.9 B,Hong Kong,real estate,1664,40,Real Estate
Alexis Lê-Quôc,$1.9 B,United States,cloud computing,1664,46,Technology
Li Guangyu,$1.9 B,China,education,1664,57,Service
Li Hongjing,$1.9 B,China,auto parts,1664,53,Automotive
Li Jiaquan,$1.9 B,China,chemicals,1664,57,Manufacturing
Li Min,$1.9 B,China,semiconductor,1664,55,Technology
Lin Dingqiang & family,$1.9 B,Hong Kong,real estate,1664,54,Real Estate
Louise Lindh,$1.9 B,Sweden,investments,1664,41,Diversified
Yusaku Maezawa,$1.9 B,Japan,online retail,1664,45,Technology
Anand Mahindra,$1.9 B,India,diversified,1664,65,Diversified
Willy Michel,$1.9 B,Switzerland,medical devices,1664,74,Healthcare
Lachhman Das Mittal,$1.9 B,India,tractors,1664,90,Automotive
Ermirio Pereira de Moraes,$1.9 B,Brazil,diversified,1664,88,Diversified
Maria Helena Moraes Scripilliti,$1.9 B,Brazil,diversified,1664,90,Diversified
Stefan Olsson,$1.9 B,Sweden,diversified,1664,72,Diversified
Peng Yongdong,$1.9 B,China,real estate,1664,41,Real Estate
Olivier Pomel,$1.9 B,France,cloud computing,1664,44,Technology
Larry Robbins,$1.9 B,United States,hedge funds,1664,51,Finance & Investments
Brian Roberts,$1.9 B,United States,Comcast,1664,61,Media & Entertainment
